Sleep Time (ms):	Number of Producers:	Number of Consumers:	Turnaround Time (ms):
1000	1	1	939.52411
1000	4	1	1073.74182
1000	16	1	939.52411
1000	1	2	1073.74182
1000	4	2	939.52411
1000	16	2	1073.74182
1000	1	4	939.52411
1000	4	4	1073.74182
1000	16	4	939.52411
1000	1	16	1073.74182
1000	4	16	939.52411
1000	16	16	939.52411
