Sleep Time (ms):	Number of Producers:	Number of Consumers:	Turnaround Time (ms):
5000	1	1	4966.05615
5000	4	1	5100.27344
5000	16	1	4966.05615
5000	1	2	4966.05615
5000	4	2	4966.05615
5000	16	2	5100.27344
5000	1	4	4966.05615
5000	4	4	4966.05615
5000	16	4	4966.05615
5000	1	16	5100.27344
5000	4	16	4966.05615
5000	16	16	4966.05615
